host_id,id,neighbourhood_cleansed,market,latitude,longitude,price,room_type,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location
24314617,9862886,Bijlmer-Oost,Amsterdam,52.32370956209394,4.966005237854949,49.00,Private room,0,0,0,0,0
15770150,6908304,Bijlmer-Oost,Amsterdam,52.3222406493397,4.986591613108508,35.00,Private room,8,8,8,9,7
4214955,7889889,Bijlmer-Oost,Amsterdam,52.31926072573845,4.972527902102099,29.00,Private room,0,0,0,0,0
1271678,2942229,Bijlmer-Oost,Amsterdam,52.324548142399564,4.975968402539098,49.00,Private room,10,10,10,10,8
42303956,9820146,Bijlmer-Oost,Amsterdam,52.31973914254213,4.978913298146106,35.00,Private room,0,0,0,0,0
27800005,5362748,Bijlmer-Oost,Amsterdam,52.32263415001058,4.960662732686624,42.00,Private room,9,6,9,10,8
41519829,7880299,Bijlmer-Oost,Amsterdam,52.32344011082727,4.972190539578077,75.00,Entire home/apt,10,10,10,10,9
51019491,9925265,Bijlmer-Oost,Amsterdam,52.320836316836186,4.976739857187362,40.00,Entire home/apt,0,0,0,0,0
27280608,9784567,Bijlmer-Oost,Amsterdam,52.32336931905056,4.977729820098882,60.00,Private room,10,10,10,10,8
23629015,9250191,Bijlmer-Oost,Amsterdam,52.326046437240386,4.970389813865916,39.00,Private room,0,0,0,0,0
34467340,8280628,Bijlmer-Oost,Amsterdam,52.32012921688653,4.977944251822642,75.00,Entire home/apt,9,10,9,10,9
50900910,9898904,Bijlmer-Oost,Amsterdam,52.313949117423654,4.976252298941748,50.00,Shared room,0,0,0,0,0
27280608,9817243,Bijlmer-Oost,Amsterdam,52.322131996253056,4.977425952077016,30.00,Shared room,0,0,0,0,0
27280608,6873473,Bijlmer-Oost,Amsterdam,52.32236610574357,4.97283838863628,60.00,Private room,9,10,10,10,8
47499392,9115414,Bijlmer-Oost,Amsterdam,52.32093767789479,4.987733661319591,30.00,Private room,0,0,0,0,0
37387620,8137152,Bijlmer-Oost,Amsterdam,52.32124519889659,4.967620084067121,45.00,Private room,10,10,10,10,9
20393437,3951418,Bijlmer-Oost,Amsterdam,52.32018743614052,4.974145263281653,36.00,Private room,9,10,9,9,8
30039084,7131573,Bijlmer-Oost,Amsterdam,52.32466336358793,4.9744728650035555,62.00,Private room,9,9,10,10,8
7697086,9038396,Bijlmer-Oost,Amsterdam,52.323287388827,4.966810792092373,55.00,Entire home/apt,6,6,7,7,4
31140233,5998167,Bijlmer-Oost,Amsterdam,52.32338893543207,4.974380320636552,60.00,Entire home/apt,10,9,10,10,9
36953379,7046849,Bijlmer-Oost,Amsterdam,52.32231416120611,4.9615935128732325,45.00,Private room,9,6,10,10,8
31270920,7722639,Bijlmer-Oost,Amsterdam,52.3179152282139,4.96662438256415,77.00,Private room,10,10,10,10,9
51569009,10160870,Bijlmer-Oost,Amsterdam,52.320647694532084,4.981335683093866,75.00,Private room,0,0,0,0,0
50900910,9898907,Bijlmer-Oost,Amsterdam,52.31450221071852,4.974129298197985,50.00,Shared room,0,0,0,0,0
35901869,6851593,Bijlmer-Oost,Amsterdam,52.322078817244595,4.97167622521097,70.00,Entire home/apt,9,9,10,10,10
16567328,3905287,Bijlmer-Oost,Amsterdam,52.319784253576934,4.962587247424782,40.00,Private room,9,9,9,9,8
38310525,7706472,Bijlmer-Oost,Amsterdam,52.3216185549668,4.9782714052738815,99.00,Entire home/apt,9,9,10,10,7
5159981,1236080,Bijlmer-Oost,Amsterdam,52.32689147046819,4.980092559201902,105.00,Private room,0,0,0,0,0
34887518,6664829,Bijlmer-Oost,Amsterdam,52.32042005536974,4.990763722536479,49.00,Private room,9,10,10,10,8
51049888,10034743,Bijlmer-Oost,Amsterdam,52.317957948149854,4.971539943194032,100.00,Private room,0,0,0,0,0
28711830,9323438,Bijlmer-Oost,Amsterdam,52.313022582039196,4.980059747636351,185.00,Entire home/apt,0,0,0,0,0
18991270,3719167,Bijlmer-Oost,Amsterdam,52.316710723876675,4.986617637373466,40.00,Private room,9,9,10,10,8
49033227,9462160,Bijlmer-Oost,Amsterdam,52.32400385763509,4.957927068207733,52.00,Entire home/apt,8,10,10,10,8
6767897,10153023,Bijlmer-Oost,Amsterdam,52.321808736278356,4.967707220125173,35.00,Private room,0,0,0,0,0
